customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
0479-LZIEN,12/2/2020,Refferal,12/2/2023,Premium,Monthly,,,27,2114,29,0,vidya,India,Himachal Pradesh,Female,11/19/1999,,,,
0481-RKSLU,7/15/2021,Paid,7/15/2023,Premium,Monthly,,,25.54,1949,51,0,subhash,India,Jharkhand,Female,6/27/1983,,,,
0486-AKEHI,12/16/2021,Organic,12/16/2023,Basic,Monthly,,,8.47,584,30,0,sundar,India,Kerala,Female,1/24/1998,,,,
0500-XGFYD,12/28/2020,Paid,12/28/2021,Basic,Monthly,,,8.13,672,28,0,neha,India,Kerala,Female,6/23/1995,,,,
0502-OHYUN,4/20/2023,Paid,4/20/2024,Standard,Monthly,,,13.51,752,18,0,devendra,India,Nagaland,Female,3/18/1987,,,,
0504-BVNNZ,7/11/2022,Organic,7/11/2023,Premium,Monthly,,,22.41,1326,17,0,krishan,India,Odisha,Female,4/6/1966,,,,
0506-HKABZ,1/26/2022,Paid,1/26/2023,Premium,Monthly,,,21.65,1856,37,0,kanta,India,Tripura,Male,9/12/1985,,,,
0516-ANVAU,7/24/2023,Paid,7/24/2026,Standard,Annual,,,14.52,588,18,0,sushma,India,Himachal Pradesh,Female,1/1/1995,,,,
0523-EKQVQ,2/27/2021,Organic,2/27/2024,Premium,Monthly,,,26.49,2731,39,0,niranjan,India,Gujarat,Male,2/23/1993,,,,
0530-QHTXX,11/20/2021,Paid,11/20/2024,Standard,Monthly,8/30/2025,App keeps crashing,18.43,1077,64,1,kishore,India,Maharashtra,Female,6/16/1974,8/4/2025,Y,1,2
0531-MGENO,9/16/2022,Organic,9/16/2025,Basic,Monthly,,,9.79,427,35,0,gaurav,India,Goa,Male,6/17/1965,6/5/2023,N,43,1
0554-XIBNM,10/11/2023,Organic,10/11/2024,Premium,Annual,,,20.52,592,15,0,asha,India,West Bengal,Female,6/7/1958,,,,
0565-RLHDS,8/24/2022,Organic,8/24/2026,Standard,Annual,,,15.47,1045,16,0,vinod,India,Uttar Pradesh,Female,2/26/1965,,,,
0578-SUVQQ,6/1/2023,Paid,6/1/2027,Premium,Annual,,,26.39,1484,40,0,suresh,India,Punjab,Female,8/30/1977,,,,
0593-RHQOE,10/11/2023,Refferal,10/11/2026,Basic,Monthly,12/4/2025,Not enough content,6.29,111,71,1,niranjan,India,West Bengal,Female,11/15/2007,11/21/2025,N,24,4
0631-ULCJR,10/4/2020,Refferal,10/4/2022,Basic,Annual,8/12/2024,Technical issues,6.6,503,96,1,neha,India,Meghalaya,Female,6/26/1996,,,,
0639-EQXZN,12/29/2022,Organic,12/29/2026,Standard,Annual,,,17.83,939,53,0,preeti,India,Tamil Nadu,Male,4/18/1970,,,,
0640-TNGXA,2/21/2022,Refferal,2/21/2024,Standard,Monthly,,,13,824,45,0,brij,India,Bihar,Male,1/18/1979,5/21/2025,Y,55,5
0651-FWFSI,9/7/2021,Paid,9/7/2023,Premium,Monthly,,,23.25,1421,51,0,hari,India,Delhi,Female,11/18/1970,,,,
0661-GWMRA,1/31/2023,Organic,1/31/2027,Standard,Annual,,,14.3,812,19,0,kamala,India,Maharashtra,Male,4/30/1993,3/28/2023,N,77,3
0670-SZFOA,6/14/2023,Paid,6/14/2026,Standard,Monthly,,,15.57,789,35,0,sarla,India,Uttarakhand,Female,7/9/1978,,,,
0678-YGTSD,7/26/2022,Paid,7/26/2026,Basic,Annual,,,9.79,368,9,0,Madan,India,Karnataka,Female,3/6/1998,,,,
0680-ZRCIT,5/11/2022,Paid,5/11/2024,Standard,Monthly,,,16.08,843,19,0,sundar,India,Rajasthan,Male,8/1/1982,,,,
0712-TCKYS,10/18/2020,Organic,10/18/2021,Standard,Monthly,,,14.67,1577,16,0,Raman,India,Delhi,Male,5/2/1962,3/26/2025,N,78,1
0713-UGRPQ,2/18/2021,Refferal,2/18/2025,Standard,Annual,,,15.36,764,35,0,maya,India,Haryana,Male,2/27/1958,,,,
0714-MTFFD,10/4/2023,Paid,10/4/2024,Basic,Monthly,8/23/2024,No longer needed,7.92,286,81,1,dharam,India,Manipur,Male,3/17/1989,8/16/2024,N,5,1
0722-TBCYS,4/14/2020,Organic,4/14/2022,Basic,Monthly,,,8.14,865,48,0,suresh,India,Gujarat,Female,9/11/1958,,,,
0728-OSPAT,3/7/2023,Paid,3/7/2025,Standard,Monthly,5/30/2024,Billing issues,13,520,60,1,sunaina,India,Punjab,Female,10/12/1977,5/13/2024,N,26,1
0759-ZQZTY,1/17/2022,Refferal,1/17/2023,Standard,Monthly,9/18/2023,Network coverage issues,12.63,452,85,1,brij,India,Rajasthan,Male,5/11/1980,,,,
0765-WCSKB,3/15/2021,Paid,3/15/2024,Premium,Monthly,8/10/2024,No longer needed,26.71,1247,62,1,geeta,India,Delhi,Female,12/22/1991,7/17/2024,Y,24,5
0768-MASGA,1/23/2020,Organic,1/23/2022,Premium,Annual,,,27.11,1757,55,0,raman,India,Manipur,Male,10/31/1965,,,,
0781-TKHZC,1/31/2022,Paid,1/31/2024,Standard,Monthly,,,12.94,585,8,0,shiva,India,Assam,Female,10/29/2003,,,,
0784-UQLJP,11/9/2023,Paid,11/9/2026,Premium,Annual,,,26.19,671,3,0,meena,India,Tripura,Female,9/9/1973,,,,
0788-CMXYS,11/1/2021,Refferal,11/1/2022,Standard,Annual,,,17.04,838,2,0,kiran,India,Bihar,Female,7/16/2001,,,,
0835-FEDHB,11/23/2022,Paid,11/23/2025,Premium,Monthly,,,27.25,1661,32,0,kishore,India,Madhya Pradesh,Female,7/30/1991,,,,
0837-YXTSH,1/26/2020,Paid,1/26/2022,Standard,Monthly,,,19,1253,9,0,usha,India,Goa,Male,6/6/1970,,,,
0849-FCMQO,10/23/2022,Organic,10/23/2025,Premium,Monthly,,,20.22,1371,44,0,sarita,India,Rajasthan,Female,6/24/2005,,,,
0864-PFLIS,10/3/2020,Refferal,10/3/2021,Basic,Annual,,,9.85,784,53,0,sushma,India,Rajasthan,Male,4/26/1975,5/22/2025,N,82,2
0873-BDJHQ,7/9/2020,Paid,7/9/2022,Basic,Monthly,,,10,563,10,0,aarti,India,Odisha,Male,3/24/1971,,,,
0929-BNBNT,10/6/2022,Paid,10/6/2026,Standard,Annual,,,15.44,702,51,0,anita,India,Uttarakhand,Male,7/18/1978,,,,
0935-RDWCV,12/11/2022,Paid,12/11/2024,Basic,Monthly,,,6.27,217,12,0,rekha,India,Chhattisgarh,Female,2/17/1997,,,,
0939-SIWQH,7/20/2021,Refferal,7/20/2024,Premium,Monthly,,,20.8,1092,6,0,manju,India,Uttar Pradesh,Female,7/15/1980,,,,
0942-CJFQL,10/11/2020,Paid,10/11/2022,Premium,Annual,,,21,1980,45,0,shobha,India,Karnataka,Female,10/15/1995,9/15/2025,N,71,3
0947-AVWVD,1/22/2021,Paid,1/22/2024,Standard,Annual,,,18.53,1892,32,0,babita,India,Delhi,Male,8/16/1989,6/20/2021,Y,35,5
0959-REUGF,7/19/2020,Organic,7/19/2023,Basic,Monthly,,,7.93,444,2,0,balram,India,Maharashtra,Female,8/8/2005,8/3/2021,Y,62,3
0968-BFWHE,10/25/2022,Paid,10/25/2024,Basic,Monthly,6/6/2024,Moved to different city,6.81,327,90,1,sunita,India,Meghalaya,Female,3/11/1966,5/18/2024,Y,22,5
0970-YDBOG,5/15/2023,Paid,5/15/2026,Premium,Monthly,7/23/2023,Network coverage issues,22.06,687,91,1,poonam,India,Tamil Nadu,Female,11/11/1972,6/12/2023,N,28,3
0974-LALQA,11/25/2023,Organic,11/25/2024,Premium,Monthly,,,24.84,713,45,0,Dilip,India,Uttarakhand,Female,2/15/1979,1/30/2025,N,75,2
0999-SAATS,9/28/2022,Refferal,9/28/2023,Premium,Monthly,,,25.62,1125,24,0,savita,India,Himachal Pradesh,Female,12/19/2006,,,,
1003-CWHSY,5/1/2023,Refferal,5/1/2026,Premium,Monthly,,,22.58,1176,18,0,sneha,India,Madhya Pradesh,Female,2/14/2003,,,,
1009-PQHNS,6/17/2023,Paid,6/17/2026,Basic,Monthly,,,6.46,201,44,0,raman,India,Maharashtra,Male,3/23/1990,,,,
1011-OTGJX,11/1/2020,Paid,11/1/2023,Standard,Annual,,,13.46,1473,7,0,kavya,India,Tamil Nadu,Male,11/23/2000,5/31/2025,N,27,5
1012-OEXKO,10/10/2022,Refferal,10/10/2024,Premium,Monthly,,,21.86,1292,42,0,raghav,India,Tripura,Male,5/1/1969,,,,
1025-GEUZQ,4/1/2020,Paid,4/1/2021,Premium,Monthly,,,26.74,1524,24,0,rangadevi,India,Goa,Female,8/5/1986,,,,
1026-TXETQ,12/17/2020,Paid,12/17/2023,Standard,Monthly,,,18.2,1100,4,0,shanti,India,Bihar,Male,1/11/1958,,,,
1028-VEEIC,10/14/2020,Refferal,10/14/2023,Premium,Monthly,,,25.01,1878,6,0,brij,India,Manipur,Female,10/30/2005,,,,
1042-MHQBY,6/26/2021,Organic,6/26/2022,Standard,Annual,,,17.17,1370,15,0,vinod,India,Uttar Pradesh,Female,4/20/1987,,,,
1046-KAHWZ,10/3/2023,Refferal,10/3/2024,Premium,Monthly,,,22.15,1114,22,0,Tejendra,India,Rajasthan,Male,10/23/1962,,,,
1060-MVBSR,12/31/2021,Organic,12/31/2024,Standard,Annual,,,14.33,956,48,0,manju,India,Karnataka,Female,2/29/1984,,,,
1076-XEHOI,3/16/2021,Refferal,3/16/2022,Basic,Annual,,,7.23,387,44,0,rangadevi,India,Himachal Pradesh,Male,12/6/1989,,,,
1111-VXMTX,9/2/2023,Organic,9/2/2024,Basic,Annual,,,7.74,207,11,0,devendra,India,Karnataka,Male,3/5/1986,,,,
1123-KNHOJ,6/10/2022,Organic,6/10/2024,Premium,Monthly,,,24.53,1298,4,0,sunil,India,Haryana,Female,6/22/1989,,,,
1132-LUTOU,5/28/2023,Paid,5/28/2026,Standard,Monthly,,,17.59,819,33,0,urmila,India,Punjab,Female,2/26/1989,,,,
1137-DJJJV,5/18/2022,Organic,5/18/2026,Standard,Annual,,,13.94,622,41,0,shobha,India,Odisha,Female,7/15/1975,,,,
1145-ZVNLI,8/5/2022,Refferal,8/5/2025,Standard,Annual,,,14.7,720,14,0,keshav,India,Karnataka,Male,1/1/1975,,,,
1152-VMZFR,10/21/2023,Paid,10/21/2024,Basic,Monthly,,,7,219,20,0,urmila,India,Jharkhand,Male,1/19/1981,,,,
1173-ZUPUJ,12/5/2020,Organic,12/5/2024,Standard,Annual,,,14.54,1260,24,0,ramesh,India,Nagaland,Female,8/4/2002,,,,
1174-LDXIQ,4/26/2021,Paid,4/26/2024,Premium,Annual,,,26.37,2040,10,0,vinod,India,Rajasthan,Female,10/8/1989,,,,
1189-XJKRL,1/31/2023,Paid,1/31/2024,Premium,Monthly,7/7/2023,Slow internet speed,23.74,714,90,1,satish,India,Jharkhand,Male,11/19/1982,6/9/2023,Y,19,2
1194-IDRSS,5/5/2021,Organic,5/5/2024,Standard,Annual,,,16.38,1231,37,0,shanti,India,Rajasthan,Female,5/8/1974,7/2/2024,Y,82,2
1195-OMAIY,7/8/2022,Refferal,7/8/2023,Standard,Annual,,,15.09,630,24,0,nisha,India,Uttar Pradesh,Male,2/22/1985,,,,
1202-WGJYQ,4/21/2023,Paid,4/21/2025,Basic,Monthly,,,9.43,526,32,0,ashok,India,Haryana,Male,10/22/1970,8/20/2023,N,27,3
1204-SCQFR,2/4/2022,Paid,2/4/2023,Standard,Monthly,,,13.93,1014,26,0,keshav,India,Assam,Male,7/10/1990,6/10/2025,Y,37,5
1206-SUTPW,8/21/2022,Refferal,8/21/2024,Basic,Monthly,,,9.54,575,31,0,ravi,India,Delhi,Female,9/23/1961,,,,
1225-RWURP,1/4/2022,Organic,1/4/2023,Premium,Monthly,5/26/2024,Network coverage issues,23.41,1103,82,1,savita,India,Maharashtra,Female,10/29/1995,5/2/2024,Y,18,5
1228-MKVTD,10/11/2021,Refferal,10/11/2022,Basic,Monthly,,,8.6,523,61,0,naresh,India,Goa,Male,6/10/1992,,,,
1231-QOGBQ,9/27/2022,Organic,9/27/2026,Premium,Annual,,,25.5,1142,41,0,kamala,India,Kerala,Male,5/15/2002,,,,
1236-YDUWD,12/16/2022,Refferal,12/16/2023,Standard,Monthly,,,14.37,930,23,0,kusum,India,Manipur,Female,12/24/1968,10/12/2025,Y,21,1
1252-PVOPR,6/14/2022,Paid,6/14/2025,Standard,Annual,1/29/2024,Moved to different city,12.3,320,84,1,om,India,Punjab,Female,3/9/2004,12/26/2023,Y,22,2
1269-NWZRR,7/25/2020,Paid,7/25/2024,Premium,Annual,,,24.03,2302,27,0,tarun,India,Gujarat,Female,8/14/1988,,,,
1270-XWRSH,1/1/2022,Paid,1/1/2023,Premium,Annual,12/23/2025,Network coverage issues,21.61,851,79,1,harish,India,Himachal Pradesh,Male,8/5/1998,11/30/2025,N,8,1
1275-MKBWY,12/26/2023,Refferal,12/26/2026,Basic,Annual,,,9.91,486,6,0,nisha,India,Madhya Pradesh,Male,7/5/1981,5/15/2025,N,71,3
1276-RSGGQ,5/17/2023,Refferal,5/17/2025,Basic,Monthly,,,8.79,329,23,0,amit,India,Goa,Female,11/22/2004,10/30/2024,Y,82,4
1276-TEBLK,8/8/2021,Paid,8/8/2024,Basic,Monthly,,,8,575,20,0,bal,India,West Bengal,Male,8/17/1978,11/10/2022,Y,26,1
1295-RLGCE,4/8/2023,Refferal,4/8/2027,Standard,Annual,,,17.43,720,54,0,sneha,India,Himachal Pradesh,Female,10/26/2002,,,,
1300-EMXZS,7/22/2023,Refferal,7/22/2024,Standard,Annual,,,15.74,478,23,0,priya,India,Nagaland,Female,6/17/1986,8/26/2025,N,68,1
1317-TYDRH,4/3/2023,Paid,4/3/2026,Basic,Annual,1/5/2024,Not enough content,8.13,280,71,1,rekha,India,Assam,Male,1/11/1997,1/1/2024,Y,6,5
1329-RCCSP,1/13/2021,Paid,1/13/2025,Premium,Annual,4/28/2023,Poor customer service,21.2,1703,91,1,ramesh,India,Meghalaya,Female,6/12/2002,3/27/2023,Y,16,1
1336-UTLCL,9/6/2020,Organic,9/6/2023,Premium,Monthly,,,22.28,1719,38,0,om,India,Odisha,Female,4/20/1996,,,,
1338-LTHLO,11/24/2022,Paid,11/24/2023,Standard,Monthly,11/15/2025,Technical issues,16,650,69,1,asha,India,Jharkhand,Male,7/26/1974,11/12/2025,N,18,1
1351-VHVSF,5/6/2023,Organic,5/6/2025,Standard,Annual,,,13.79,680,3,0,hemant,India,Manipur,Male,8/13/1987,,,,
1381-PSXYH,8/4/2023,Organic,8/4/2026,Basic,Monthly,8/2/2025,Poor customer service,6.73,177,98,1,jyoti,India,Meghalaya,Male,9/8/1972,7/19/2025,N,17,1
1399-BSRBT,5/27/2022,Refferal,5/27/2024,Basic,Monthly,,,6.41,360,40,0,rekha,India,Punjab,Female,8/4/2003,,,,
1399-KUWKB,9/10/2023,Paid,9/10/2025,Premium,Annual,,,24,1121,8,0,sundar,India,Bihar,Male,4/8/1978,,,,
1402-ANTNR,2/27/2020,Refferal,2/27/2021,Standard,Monthly,,,14.69,1567,30,0,sunil,India,Karnataka,Female,3/29/1986,3/22/2023,N,71,5
1402-HHFIR,6/11/2020,Paid,6/11/2022,Standard,Monthly,,,15.53,945,2,0,rahul,Nepal,Kathmandu,Male,10/23/1999,4/23/2023,N,25,3
1406-APVYB,1/27/2020,Paid,1/27/2022,Premium,Monthly,,,25.36,1605,31,0,dinesh,India,Bihar,Female,5/31/1967,,,,
1406-LWEAV,5/6/2020,Paid,5/6/2022,Basic,Monthly,,,6.91,716,54,0,indira,India,Chhattisgarh,Female,12/18/1990,,,,
1417-FEFWB,5/15/2023,Paid,5/15/2026,Basic,Annual,,,9.04,326,42,0,ramkumar,India,Rajasthan,Female,3/12/1990,9/5/2024,N,23,3
1432-ECKVM,4/26/2023,Organic,4/26/2024,Basic,Monthly,,,6.46,190,30,0,lata,India,Meghalaya,Male,4/5/1974,,,,
1446-CENVR,10/22/2020,Refferal,10/22/2021,Basic,Monthly,4/24/2024,Network coverage issues,6.09,339,83,1,manju,India,Meghalaya,Female,5/16/1977,4/18/2024,Y,18,2
1452-DNHEW,6/2/2023,Paid,6/2/2025,Basic,Monthly,,,8.94,484,11,0,dharam,India,Bihar,Female,3/17/2006,,,,
1473-CMTLA,11/17/2020,Organic,11/17/2021,Standard,Annual,,,12.3,1238,1,0,kavita,India,Kerala,Male,11/18/2006,,,,
1478-KVEBK,5/17/2021,Paid,5/17/2023,Basic,Monthly,,,9.25,756,15,0,gopal,India,Rajasthan,Female,4/30/2004,,,,
1493-COLHJ,2/19/2022,Organic,2/19/2024,Basic,Monthly,,,7,342,51,0,preeti,India,Meghalaya,Female,7/2/1968,,,,
1504-DCVCN,3/1/2022,Paid,3/1/2023,Premium,Monthly,,,25,2008,47,0,rahul,India,Assam,Female,3/31/1977,3/22/2024,N,25,1
1529-RSQIO,3/7/2022,Refferal,3/7/2024,Standard,Monthly,,,12.07,579,13,0,ramesh,India,West Bengal,Male,1/1/1982,,,,
1550-STULI,7/26/2020,Paid,7/26/2021,Premium,Annual,,,21.17,2188,6,0,sunil,India,Tripura,Female,1/15/1996,,,,
1570-KSFGX,7/29/2022,Organic,7/29/2024,Standard,Annual,,,17.56,797,40,0,rangadevi,India,Meghalaya,Female,5/14/1962,11/19/2024,N,33,2
1573-AEWYI,10/3/2022,Organic,10/3/2023,Basic,Monthly,2/23/2024,No longer needed,7.32,235,85,1,radha,India,Jharkhand,Female,7/21/1995,,,,
